股票简称,股票代码,最新价,涨跌幅,PE(TTM),PE(静),市净率,PEG值,市销率,市现率,所属行业
阿拉丁,688179,121.3,0.66,141.79,164.49,14.62,7.7177,46.85,138.94,材料行业
八亿时空,688181,52.85,1.34,28.33,29.91,2.94,0.4713,7.06,36.07,材料行业
广大特材,688186,32.34,6.35,25.23,30.78,2.94,1.2228,2.49,-36.37,金属制品
柏楚电子,688188,363.5,5.27,83.49,98.38,14.63,1.4813,53.4,80.72,软件服务
南新制药,688189,50.83,0.95,54.21,53.51,4.38,1.0376,7.02,-19.38,医药制造
卓越新能,688196,53.57,0.71,24.33,26.54,2.82,1.9124,3.79,21.88,环保工程
华峰测控,688200,405.5,2.92,130.77,124.85,11.44,1.0839,58.12,164.65,专用设备
美迪西,688202,464.88,6.46,180.99,222.76,24.61,1.403,37.2,128.12,医药制造
道通科技,688208,84.9,-0.35,79.35,88.22,15.64,2.3075,21.81,80.81,汽车行业
会通股份,688219,17.19,-2.83,37.14,43.33,4.6,0.521,1.75,-919.57,塑胶制品
神工股份,688233,47.06,6.71,54.74,75.09,6.02,1.0729,29.07,46.91,材料行业
卓易信息,688258,47.01,-0.61,61.84,70.42,4.45,1.6853,19.06,42.32,软件服务
华特气体,688268,67.3,1.4,68.61,75.85,6.2,1.1371,7.32,84.31,化工行业
特宝生物,688278,34.81,-1.25,110.26,121.48,13.69,1.1456,17.23,104.56,医药制造
鸿泉物联,688288,39.2,2.14,39.86,44.39,4.18,1.2753,7.47,111.76,专用设备
圣湘生物,688289,97.95,0.84,12.86,14.97,7.3,0.0015,7.09,13.99,医疗行业
东方生物,688298,182.3,-1.46,7.76,13.04,6.02,0.0016,4.06,7.48,医疗行业
长阳科技,688299,26.33,0.19,40.23,42.04,4.13,1.7326,6.47,27.67,材料行业
联瑞新材,688300,62.19,3.25,41.2,48.2,5.34,0.7061,11.29,51.52,材料行业
奕瑞科技,688301,261.02,-3.03,71.56,85.2,7.19,0.5371,21.71,61.63,专用设备
欧科亿,688308,57.85,-0.55,42.24,53.84,4.27,1.8878,7.21,55.23,金属制品
迈得医疗,688310,29.6,-1.66,39.13,41.89,3.31,2.0738,8.61,26.21,医疗行业
盟升电子,688311,74.8,0.07,75.25,80.12,5.21,1.3001,20.03,115.12,电子信息
燕麦科技,688312,25.14,-2.26,32.15,35.27,2.92,2.1809,9.47,68.3,专用设备
财富趋势,688318,173.11,-2.75,40.81,45.89,3.91,0.786,38.36,46.38,软件服务
微芯生物,688321,40.46,-2.03,896.2,534.32,11.11,17.8548,53.16,183.46,医药制造
宏力达,688330,75.47,-0.29,22.26,23.72,2.44,0.6585,8.03,93.73,输配电气
铂力特,688333,139.98,3.54,210.21,129.16,9.77,5.0665,25.49,282.86,专用设备
复洁环保,688335,35.16,-1.98,31.99,38.21,2.33,7.0322,6.03,-29.09,环保工程
键凯科技,688356,227.25,5.21,123.12,159.14,15.21,2.8071,59.41,157.54,化工行业
建龙微纳,688357,87.22,1.66,34.66,39.59,4.99,0.6282,10.06,27.89,化工行业
德马科技,688360,27.52,-0.15,34.42,35.49,2.65,9.9841,2.7,-90.39,机械行业
华熙生物,688363,245,1.76,170.39,182.09,22.73,15.5682,38.66,174.29,医药制造
致远互联,688369,60.93,0.63,42.34,43.6,3.56,4.5864,5.79,44.55,软件服务
